state,area,company,industry,facility_type,source_name,source_url,careers_url,last_verified_at,verification_status,is_verified,is_active
Punjab,Ludhiana Industrial Focal Point,Hero Cycles,Automobile Components,,User-supplied company example,,https://www.herocycles.com/pages/carrers,,unverified,0,0
Punjab,Ludhiana Industrial Focal Point,Happy Forgings,Forging,,User-supplied company example,,https://happyforgingsltd.com/opportunities/,,unverified,0,0
Punjab,Ludhiana Industrial Focal Point,Vardhman,Textile,,User-supplied company example,,,,unverified,0,0
Punjab,Ludhiana Textile Hub,Oswal Woollen Mills,Textile,,User-supplied company example,,,,unverified,0,0
Punjab,Ludhiana Textile Hub,Monte Carlo,Textile,,User-supplied company example,,,,unverified,0,0
Punjab,Ludhiana Textile Hub,Sportking,Textile,,User-supplied company example,,https://sportking.co.in/careers/,,unverified,0,0
Punjab,Rajpura Industrial Area,Industrial Companies,Manufacturing,,User-supplied company example,,,,unverified,0,0
Punjab,Jalandhar Sports Hub,Sports Goods Manufacturers,Sports Goods,,User-supplied company example,,,,unverified,0,0
Gujarat,Sanand Industrial Area,Suzuki Motors,Automobile,,User-supplied company example,,,,unverified,0,0
Gujarat,Sanand Industrial Area,Honda Motorcycles,Automobile,,User-supplied company example,,https://www.honda2wheelersindia.com/about/careers,,unverified,0,0
Gujarat,Sanand Industrial Area,Sanko Gosei,Automotive,,User-supplied company example,,,,unverified,0,0
Gujarat,Sanand Industrial Area,Munjal Kiriu,Automotive,,User-supplied company example,,https://munjalkiriu.co.in/careers/,,unverified,0,0
Gujarat,Sanand Industrial Area,Roki Minda,Automotive,,User-supplied company example,,,,unverified,0,0
Gujarat,Sanand Industrial Area,Bosch,Automotive,,User-supplied company example,,https://www.bosch.in/careers/job-offers/,,unverified,0,0
Gujarat,Sanand Industrial Area,Maxxis Tyres,Automotive,,User-supplied company example,,https://www.maxxistyres.co.in/career,,unverified,0,0
Gujarat,Sanand Industrial Area,Magna Closures,Automotive,,User-supplied company example,,,,unverified,0,0
Gujarat,Sanand Industrial Area,Valeo,Automotive,,User-supplied company example,,https://www.valeo.com/en/india/,,unverified,0,0
Gujarat,Sanand Industrial Area,Marelli,Automotive,,User-supplied company example,,https://jobs.marelli.com/,,unverified,0,0
Gujarat,Sanand Industrial Area,Motherson,Automotive,,User-supplied company example,,https://careers.motherson.com/en/country/india,,unverified,0,0
Gujarat,Sanand Industrial Area,Hero MotoCorp,Automobile,,User-supplied company example,,https://www.heromotocorp.com/en-in/company/careers/career-overview.html,,unverified,0,0
Gujarat,Sanand Industrial Area,MG Motor,Automobile,,User-supplied company example,,https://www.mgmotor.co.in/careers,,unverified,0,0
Uttarakhand,Rudrapur Industrial Area,Ashok Leyland,Automobile,,User-supplied company example,,https://ashokleyland.com/in/careers,,unverified,0,0
Uttarakhand,Rudrapur Industrial Area,Mahindra Tractors,Automobile,,User-supplied company example,,https://www.mahindra.com/career,,unverified,0,0
Uttarakhand,Rudrapur Industrial Area,Nestle,FMCG,,User-supplied company example,,https://www.nestle.in/jobs,,unverified,0,0
Uttarakhand,Rudrapur Industrial Area,Britannia,FMCG,,User-supplied company example,,https://www.britannia.co.in/careers,,unverified,0,0
Uttarakhand,Rudrapur Industrial Area,Steelbird International,Automotive,,User-supplied company example,,,,unverified,0,0
Uttarakhand,Rudrapur Industrial Area,Bajaj Auto,Automobile,,User-supplied company example,,,,unverified,0,0
Uttarakhand,Rudrapur Industrial Area,Banco Products,Automotive,,User-supplied company example,,,,unverified,0,0
Uttarakhand,Haridwar Integrated Industrial Estate,ITC,FMCG,,User-supplied company example,,https://recruitment.itcportal.com/jobs/Careers,,unverified,0,0
Uttarakhand,Haridwar Integrated Industrial Estate,Wipro,Consumer Products,,User-supplied company example,,https://careers.wipro.com/,,unverified,0,0
Uttarakhand,Haridwar Integrated Industrial Estate,V-Guard,Electrical,,User-supplied company example,,,,unverified,0,0
Uttarakhand,Haridwar Integrated Industrial Estate,Rockman Industries,Automotive,,User-supplied company example,,https://www.rockman.in/career/,,unverified,0,0
Uttarakhand,Haridwar Integrated Industrial Estate,Mahindra & Mahindra,Automobile,,User-supplied company example,,https://www.mahindra.com/career,,unverified,0,0
Uttarakhand,Haridwar Integrated Industrial Estate,Lumax Industries,Automotive,,User-supplied company example,,,,unverified,0,0
Uttarakhand,Haridwar Integrated Industrial Estate,Themis Medicare,Pharma,,User-supplied company example,,https://www.themismedicare.com/careers/,,unverified,0,0
