state,city,district,name,area_type,sectors,source_name,source_url,last_verified_at,verification_status,is_featured,is_active
Punjab,Ludhiana,Ludhiana,Ludhiana Industrial Focal Point,industrial_area,Textile;Engineering;Auto Components;Forging;Cycle Manufacturing,User-supplied starter master,,,unverified,1,1
Punjab,Ludhiana,Ludhiana,Ludhiana Textile Hub,textile_hub,Textile;Garments;Knitting;Dyeing,User-supplied starter master,,,unverified,1,1
Punjab,Jalandhar,Jalandhar,Jalandhar Sports Hub,manufacturing_hub,Sports Goods;Manufacturing;Rubber;Leather,User-supplied starter master,,,unverified,1,1
Punjab,Rajpura,Patiala,Rajpura Industrial Area,industrial_area,Manufacturing;Engineering;Steel;Food;Logistics,User-supplied starter master,,,unverified,1,1
Punjab,Mohali,SAS Nagar,Mohali Industrial Area,industrial_area,Engineering;Electronics;IT;Manufacturing,User-supplied starter master,,,unverified,1,1
Punjab,Amritsar,Amritsar,Amritsar Industrial Area,industrial_area,Textile;Food Processing;Engineering,User-supplied starter master,,,unverified,1,1
Haryana,Manesar,Gurugram,Manesar Industrial Area,industrial_area,Automobile;Auto Components;Engineering;Electronics,User-supplied starter master,,,unverified,1,1
Haryana,Gurugram,Gurugram,Gurugram Industrial Area,industrial_area,IT;Automobile;Engineering;Logistics,User-supplied starter master,,,unverified,1,1
Haryana,Bawal,Rewari,Bawal Industrial Area,industrial_area,Automobile;Engineering;Manufacturing,User-supplied starter master,,,unverified,1,1
Haryana,Dharuhera,Rewari,Dharuhera Industrial Area,industrial_area,Automobile;Auto Components;Manufacturing,User-supplied starter master,,,unverified,1,1
Haryana,Faridabad,Faridabad,Faridabad Industrial Area,industrial_area,Engineering;Automobile;Manufacturing,User-supplied starter master,,,unverified,1,1
Haryana,Panipat,Panipat,Panipat Industrial Cluster,industrial_cluster,Textile;Chemical;Manufacturing,User-supplied starter master,,,unverified,1,1
Haryana,Sonipat,Sonipat,Sonipat Industrial Area,industrial_area,Engineering;Manufacturing;Logistics,User-supplied starter master,,,unverified,1,1
Rajasthan,Bhiwadi,Alwar,Bhiwadi Industrial Area,industrial_area,Steel;Automobile;Engineering;FMCG;Chemical,User-supplied starter master,,,unverified,1,1
Rajasthan,Khushkhera,Alwar,Khushkhera Industrial Area,industrial_area,Automobile;Engineering;Manufacturing,User-supplied starter master,,,unverified,1,1
Rajasthan,Neemrana,Alwar,Neemrana Industrial Area,industrial_area,Automobile;Engineering;Electronics;Manufacturing,User-supplied starter master,,,unverified,1,1
Rajasthan,Tapukara,Alwar,Tapukara Industrial Area,industrial_area,Automobile;Auto Components;Manufacturing,User-supplied starter master,,,unverified,1,1
